Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Position
Lynn Williams,WNY,19,19,1671,11,5,72,35,16,18,0,0,0,0,0,Attacker
Kealia Ohai,HOU,20,18,1626,11,3,43,29,12,30,6,0,0,0,0,Attacker
Jessica McDonald,WNY,19,19,1665,10,7,50,29,12,14,0,0,0,0,0,Attacker
Nadia Nadim,POR,20,20,1649,9,3,32,15,36,20,13,4,4,4,0,
Shea Groom,KC,19,19,1660,8,0,50,25,28,18,0,1,0,1,1,Attacker
Christen Press,CHI,14,14,1260,8,0,56,32,16,15,0,1,1,0,0,Attacker
Manon Melis,SEA,16,15,1051,7,1,29,21,7,5,0,0,0,0,0,
Sofia Huerta,CHI,20,20,1742,7,2,39,16,21,13,1,0,0,2,0,
Kim Little,SEA,20,20,1795,6,2,27,16,17,5,13,3,3,0,0,
Christine Sinclair,POR,11,10,826,6,2,17,12,6,7,0,0,0,0,0,Attacker
Allie Long,POR,15,15,1350,6,2,25,13,20,2,3,0,0,0,0,Midfielder
Kristen Edmonds,ORL,19,19,1701,6,2,23,13,13,1,41,0,0,1,0,Midfielder
Carli Lloyd,HOU,7,7,553,5,3,26,12,4,7,3,1,1,0,0,
Lianne Sanderson,WNY,17,11,1120,5,1,20,13,10,3,19,0,0,0,0,
Samantha Mewis,WNY,14,14,1260,5,2,37,14,19,1,4,2,1,1,0,Midfielder
Dagný Brynjarsdóttir,POR,17,12,1072,5,0,11,8,27,3,1,0,0,1,0,
Lindsey Horan,POR,15,15,1304,5,0,25,16,23,6,3,0,0,4,0,Midfielder
Estefanía Banini,WAS,13,9,887,5,1,16,10,4,0,0,0,0,0,0,
Sam Kerr,NJ,9,6,616,5,0,20,12,5,6,1,0,0,0,0,
Alex Morgan,ORL,15,15,1350,4,1,37,18,11,11,1,0,0,1,0,
Jasmyne Spencer,ORL,20,17,1564,4,0,29,19,14,8,0,0,0,3,0,Attacker
Katie Stengel,WAS,19,10,929,4,1,17,8,2,9,1,0,0,0,0,Attacker
Diana Matheson,WAS,12,9,799,4,0,10,8,4,3,22,1,1,1,0,Midfielder
Rachel Daly,HOU,16,12,1186,4,3,29,14,23,25,1,0,0,2,0,Attacker
Joanna Lohman,WAS,20,17,1538,4,1,25,15,29,0,1,0,0,1,0,Midfielder
Natasha Kai,NJ,20,17,1401,4,1,33,18,17,27,0,0,0,3,0,
Nahomi Kawasumi,SEA,10,8,750,3,2,11,8,0,10,14,0,0,0,0,Attacker
Natasha Dowie,BOS,7,7,605,3,0,19,10,12,11,0,0,0,1,0,
Christine Nairn,WAS,20,18,1618,3,3,29,11,8,1,87,2,1,1,0,
Cheyna Matthews,WAS,17,8,780,3,0,16,9,10,9,0,0,0,1,0,
Janine Beckie,HOU,14,11,917,3,2,16,7,6,6,0,0,0,0,0,
Sarah Killion,NJ,18,18,1606,3,1,10,7,15,1,22,4,3,0,0,Midfielder
Makenzy Doniak,WNY,20,15,1141,3,4,14,10,8,5,4,0,0,1,0,Midfielder
Yael Averbuch,KC,20,20,1788,3,0,17,9,18,0,4,1,1,1,0,Midfielder
Maya Hayes,NJ,16,8,749,3,0,10,6,6,6,1,0,0,0,0,
Leah Galton,NJ,14,10,1022,3,4,16,9,10,11,11,0,0,1,0,
Beverly Yanez,SEA,20,18,1543,3,3,22,14,10,11,1,0,0,0,0,Midfielder
Stephanie McCaffrey,CHI,18,15,1276,2,0,19,10,12,14,3,0,0,0,0,Attacker
Abby Dahlkemper,WNY,20,20,1800,2,1,10,5,15,1,58,2,2,2,0,Defender
Taylor Smith,WNY,18,5,725,2,0,11,4,11,0,2,0,0,1,0,Defender
Julie King,BOS,18,17,1524,2,1,9,5,19,2,1,0,0,5,0,Defender
Crystal Dunn,WAS,13,12,1140,2,5,30,11,14,12,1,0,0,0,0,Defender
Tiffany McCarty,KC,16,10,916,2,4,14,4,18,13,0,0,0,0,0,
Francisca Ordega,WAS,13,7,630,2,1,9,6,15,8,0,0,0,1,0,
Abby Erceg,WNY,17,16,1474,2,1,11,3,26,1,0,0,0,0,1,Defender
Frances Silva,KC,19,10,990,2,0,13,4,16,3,1,0,0,1,0,
Casey Short,CHI,20,20,1781,2,0,14,7,12,1,0,0,0,0,0,Defender
Jennifer Hoy,CHI,15,9,673,2,0,5,3,7,11,0,0,0,1,0,
Denise O'Sullivan,HOU,18,14,1313,2,5,18,6,13,1,2,0,0,1,0,Midfielder
Sarah Hagen,ORL,17,8,588,2,2,9,8,4,1,0,0,0,0,0,
Angela Salem,BOS,19,19,1700,1,0,12,6,8,0,2,0,0,1,0,
Jessica Fishlock,SEA,16,16,1390,1,4,23,10,16,1,0,0,0,4,0,Midfielder
Jessica Fishlock,SEA,16,16,1390,1,4,23,10,16,1,0,0,0,4,0,Midfielder
Taylor Comeau,CHI,16,6,667,1,1,4,2,9,0,0,0,0,0,0,
Kristie Mewis,BOS,14,13,1122,1,1,21,7,13,2,23,1,0,0,0,
Merritt Mathias,SEA,19,17,1431,1,0,18,9,21,19,2,0,0,2,0,Defender
Elise Krieghoff,BOS,6,0,142,1,0,2,1,1,1,0,0,0,0,0,
Megan Rapinoe,SEA,5,2,205,1,1,7,5,4,2,3,0,0,0,0,Attacker
Havana Solaun,SEA,6,3,274,1,0,5,2,1,1,0,0,0,0,0,
Rumi Utsugi,SEA,7,6,554,1,0,7,1,2,5,1,0,0,0,0,Midfielder
Keelin Winters,SEA,20,20,1750,1,2,11,4,20,0,0,0,0,2,0,
Rachel Corsie,SEA,12,11,1005,1,0,4,1,12,0,0,0,0,3,0,Defender
Kelly Conheeney,NJ,13,6,588,1,0,11,6,12,7,1,0,0,1,0,
Lauren Barnes,SEA,20,20,1776,1,2,5,3,11,0,44,0,0,1,0,Defender
Kathryn Williamson,POR,5,3,198,1,0,1,1,3,0,1,0,0,0,0,
Whitney Engen,BOS,14,14,1260,1,1,1,1,3,0,1,0,0,2,0,
Mollie Pathman,BOS,13,12,1055,1,0,2,1,5,0,2,0,0,0,0,
Meg Morris,POR,7,3,274,1,1,2,1,6,3,0,0,0,2,0,Attacker
Taylor Lytle,NJ,18,18,1506,1,2,13,3,6,4,0,0,0,0,0,Midfielder
Kelley O'Hara,NJ,12,11,1033,1,2,16,5,12,8,36,0,0,1,0,Defender
Raquel Rodriguez,NJ,18,17,1464,1,1,21,11,12,1,0,0,0,1,0,
Erica Skroski,NJ,20,20,1798,1,0,2,1,10,1,0,0,0,0,0,Defender
Kendall Lorraine Fletcher,SEA,20,20,1755,1,0,6,3,7,1,0,0,0,1,0,
Tobin Heath,POR,14,13,1159,1,10,32,16,28,5,55,0,0,1,1,Attacker
Tori Huster,WAS,19,19,1667,1,1,17,7,14,0,0,0,0,0,0,
Alyssa Kleiner,WAS,17,12,1111,1,1,4,2,11,1,0,0,0,1,0,Defender
Ali Krieger,WAS,15,14,1267,1,0,8,4,9,1,7,0,0,2,0,
Louise Schillgard,BOS,18,16,1428,1,2,5,4,32,5,31,1,1,4,0,
Steph Catley,ORL,11,11,990,1,1,7,3,9,1,27,0,0,0,0,Defender
Erika Tymrak,KC,17,14,1164,1,2,18,6,9,3,23,0,0,0,0,Midfielder
Becky Sauerbrunn,KC,14,14,1260,1,0,3,2,6,0,1,0,0,1,0,Defender
Heather O'Reilly,KC,14,14,1206,1,2,20,8,12,10,54,2,1,2,0,Midfielder
Katie Schoepfer,BOS,12,8,597,1,0,9,5,5,1,0,0,0,1,0,
Chioma Ubogagu,HOU,15,9,805,1,1,16,7,8,8,0,0,0,0,0,
Kyah Simon,BOS,17,14,1292,1,1,20,7,15,5,1,0,0,1,0,
Andressinha,HOU,15,15,1297,1,1,19,8,12,1,37,0,0,1,0,
Michaela Hahn,WNY,13,8,659,1,1,7,2,6,0,0,0,0,2,0,
Jaelene Hinkle,WNY,15,15,1327,1,3,8,7,16,1,37,1,1,2,0,Defender
Amber Brooks,HOU,19,11,1085,1,0,11,2,20,0,1,0,0,1,0,
Poliana,HOU,15,15,1324,1,0,12,7,11,2,2,0,0,1,0,
Cara Walls,CHI,12,8,702,1,0,9,6,10,8,1,0,0,0,0,
Christen Westphal,BOS,13,7,580,1,0,2,2,6,0,0,0,0,0,0,Defender
Sam Witteman,ORL,16,12,1062,0,0,4,2,6,0,0,0,0,0,0,
Desiree Scott,KC,14,14,1260,0,0,5,2,16,1,0,0,0,2,0,Midfielder
Brooke Elby,BOS,13,11,917,0,0,3,2,9,0,0,0,0,0,1,
Brittany Taylor,KC,20,20,1800,0,0,11,4,11,1,1,0,0,0,0,
Samantha Johnson,CHI,19,19,1676,0,0,0,0,14,0,0,0,0,2,0,Defender
Tiffany Weimer,KC,4,0,17,0,0,0,0,0,0,0,0,0,0,0,
Laura Alleway,ORL,11,9,783,0,0,8,4,6,0,0,0,0,2,0,
Christina Burkenroad,ORL,7,2,252,0,0,0,0,2,3,0,0,0,0,0,
Josee Belanger,ORL,14,14,1082,0,0,3,1,12,1,0,0,0,2,0,
Julie Ertz,CHI,12,12,1080,0,0,1,0,7,0,0,0,0,1,0,Midfielder
Lisa De Vanna,ORL,3,2,153,0,0,2,1,1,1,0,0,0,0,0,
Mary Luba,CHI,1,0,10,0,0,0,0,0,0,0,0,0,0,0,
Becky Edwards,ORL,16,10,806,0,0,4,1,13,0,0,0,0,1,0,
Maddy Evans,ORL,16,12,1111,0,1,9,6,16,0,0,0,0,2,0,
Jamia Fields,ORL,12,6,627,0,1,3,1,10,4,0,0,0,0,0,
Leah Lynn Gabriela Fortune,ORL,3,0,44,0,1,1,0,0,0,0,0,0,0,0,
Alyssa Mautz,CHI,18,10,1037,0,2,12,6,19,5,1,0,0,4,0,
Monica,ORL,16,15,1377,0,0,5,3,9,0,0,0,0,0,0,
Kaylyn Kyle,ORL,18,16,1441,0,0,5,1,18,6,0,0,0,1,0,
Sierra Lelii,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Camille Levin,ORL,10,9,836,0,1,1,0,4,2,0,0,0,0,0,
Toni Pressley,ORL,14,11,1028,0,0,8,1,12,1,4,0,0,3,0,
Kim Reynolds,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dani Weatherholt,ORL,12,9,786,0,0,3,1,12,0,0,0,0,0,0,
Allie Wisner,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kathleen Naughton,CHI,16,9,861,0,0,1,1,6,1,0,0,0,0,0,
McKenzie Berryhill,POR,5,2,182,0,0,0,0,1,0,0,0,0,0,0,
Celeste Boureille,POR,6,5,466,0,0,3,0,4,0,0,0,0,0,0,
Eunice Beckmann,BOS,11,8,658,0,1,16,6,18,2,1,0,0,3,0,
Maureen Fitzgerald,POR,3,2,134,0,0,0,0,2,0,0,0,0,0,0,
Courtney Raetzman,CHI,6,0,52,0,0,0,0,1,0,0,0,0,0,0,
Amandine Henry,POR,9,8,638,0,1,8,2,16,0,0,0,0,0,0,
Rebekah Roller,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kendall Johnson,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Meghan Klingenberg,POR,14,14,1259,0,0,4,2,8,3,1,0,0,1,0,Defender
Samantha Lofton,POR,3,0,54,0,0,1,1,0,0,0,0,0,0,0,
Morgan Marlborough,BOS,1,0,23,0,0,2,1,0,2,0,0,0,0,0,
Emily Menges,POR,20,20,1800,0,0,1,0,4,0,0,0,0,0,0,Defender
Shade Pratt,POR,5,1,140,0,0,1,1,4,0,0,0,0,0,0,
Hayley Raso,POR,20,6,751,0,2,9,3,18,8,0,0,0,3,0,
Katherine Reynolds,POR,20,18,1671,0,0,1,1,10,0,0,0,0,1,0,Defender
Meleana Shim,POR,14,9,812,0,1,4,2,10,1,5,0,0,1,0,
Mónica Rose Alvarado Rodriguez,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jennifer Skogerboe,POR,3,2,210,0,0,0,0,2,0,0,0,0,0,0,
Emily Sonnett,POR,15,15,1350,0,0,3,2,7,1,0,0,0,2,0,
Mallory Weber,POR,13,7,699,0,0,4,2,8,1,0,0,0,1,0,Attacker
Mallory Weber,POR,13,7,699,0,0,4,2,8,1,0,0,0,1,0,Attacker
Kylie Strom,BOS,7,3,343,0,0,0,0,7,0,0,0,0,0,0,
Morgan Brian,HOU,13,13,1005,0,0,7,4,5,3,16,0,0,0,0,
Michelle Cruz,SEA,4,0,46,0,0,1,0,0,0,0,0,0,0,0,
Kiersten Dallstream,SEA,12,2,274,0,0,2,1,5,0,0,0,0,1,0,Attacker
Lindsay Elston,SEA,12,0,157,0,0,2,1,3,2,0,0,0,1,0,
Bianca Brinson,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stephanie Verdoia,BOS,10,5,452,0,0,6,2,5,1,1,0,0,0,0,
Ellie Brush,HOU,15,15,1336,0,0,2,0,11,0,1,0,0,4,0,
Kassey Kallman,BOS,20,20,1800,0,0,0,0,9,0,0,0,0,0,0,
Allysha Chapman,HOU,9,8,711,0,0,2,1,6,0,0,0,0,1,0,
Paige Nielsen,SEA,2,0,26,0,0,1,0,0,1,0,0,0,0,0,
Carson Pickett,SEA,15,8,841,0,1,5,2,3,0,0,0,0,0,1,
Megan Crosson,HOU,4,1,115,0,0,0,0,1,0,8,0,0,1,0,
Elli Reed,SEA,16,14,1284,0,0,1,0,8,1,0,0,0,2,0,
Rachel Wood,BOS,7,2,260,0,0,4,0,5,1,0,0,0,0,0,
Tessa Florio-Gavilsky,HOU,3,0,54,0,0,1,0,2,1,1,0,0,0,0,
Anna María Gilbertson Rojas,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Caity Heap,HOU,6,2,127,0,0,1,0,3,0,0,0,0,2,0,
Melissa Henderson,HOU,7,4,321,0,1,1,0,4,3,8,0,0,0,0,
Kim DeCesare,NJ,6,3,244,0,0,2,1,3,0,0,0,0,0,0,
Theresa Diederich,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Courtney Kathryn 'Coco' Goodson,NJ,1,0,8,0,0,0,0,0,0,0,0,0,0,0,
Shawna Gordon,NJ,11,5,444,0,0,4,1,2,1,2,0,0,0,0,
Kristin Grubka,NJ,15,14,1267,0,1,3,1,16,2,1,0,0,2,0,
Danielle Colaprico,CHI,20,20,1784,0,2,6,5,19,0,31,0,0,0,0,
Rebecca Moros,HOU,17,17,1521,0,2,6,2,17,0,0,0,0,0,0,Midfielder
Ghoutia Karchouni,BOS,3,1,100,0,0,1,0,1,0,1,0,0,0,0,
Stephanie Ochs,HOU,12,3,381,0,2,5,3,4,2,4,0,0,0,0,
Amanda DaCosta,CHI,13,8,664,0,0,9,2,9,1,1,0,0,0,0,
Ashley Nick,NJ,3,1,103,0,0,0,0,1,0,0,0,0,0,0,
Cami Privett,HOU,15,11,1056,0,0,3,1,9,1,0,0,0,1,0,
Christie Pearce,NJ,20,20,1800,0,0,2,0,5,1,0,0,0,1,0,
Dominique Richardson,NJ,2,0,54,0,0,2,1,2,0,0,0,0,0,0,Defender
Cari Roccaro,HOU,15,14,1267,0,0,1,0,6,0,1,0,0,2,0,Midfielder
Danielle Schulmann,NJ,3,0,42,0,0,1,1,1,0,0,0,0,0,0,
Erin Simon,NJ,19,18,1590,0,2,0,0,16,3,0,0,0,1,0,
Nikki Stanton,NJ,12,4,407,0,0,3,1,9,0,1,0,0,3,0,
Chestley Strother,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Whitney Church,WAS,11,7,612,0,0,0,0,4,0,0,0,0,0,0,Defender
Caprice Dydasco,WAS,12,12,1080,0,2,6,2,9,1,0,0,0,1,0,Defender
Cali Farquharson,WAS,16,8,559,0,0,6,4,7,2,0,0,0,0,0,Attacker
Caroline Van Slambrouck,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estelle Johnson,WAS,11,11,990,0,0,4,2,4,0,0,0,0,0,0,Defender
Alex Arlitt,KC,11,8,712,0,0,2,0,7,0,0,0,0,1,0,
Vanessa DiBernardo,CHI,20,20,1785,0,6,25,10,17,0,67,0,0,0,0,
Katie Bowen,KC,13,11,959,0,1,3,3,11,0,0,0,0,0,0,Midfielder
Alli Murphy,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jen Buczkowski,KC,5,5,426,0,0,2,1,9,0,0,0,0,0,0,
Amanda Frisbie,KC,3,3,270,0,0,2,0,1,0,2,0,0,0,0,
Megan Oyster,WAS,15,15,1341,0,0,1,0,11,0,0,0,0,2,0,Defender
Haley Rosen,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Line Sigvardsen Jensen,WAS,3,2,141,0,0,0,0,0,0,0,0,0,0,0,
Janelle Kalyn Flaws,CHI,1,0,45,0,0,0,0,1,2,0,0,0,0,0,
Shelina Zadorsky,WAS,11,10,911,0,0,1,0,11,0,0,0,0,2,0,
Lady Patricia Andrade Rodríguez,WNY,2,0,52,0,0,0,0,2,0,0,0,0,0,0,
Halimatu Ibrahim Ayinde,WNY,1,1,45,0,0,1,0,1,0,0,0,0,0,0,
Janice Cayman,WNY,3,1,96,0,0,2,1,1,0,1,0,0,1,0,
Caroline Kastor,KC,15,3,296,0,2,4,1,5,1,0,0,0,0,0,
Lo’eau LaBonta,KC,11,7,693,0,0,9,3,8,1,0,0,0,1,0,Midfielder
Elizabeth Eddy,WNY,20,20,1753,0,2,5,2,31,1,9,0,0,3,0,Midfielder
Mandy Laddish,KC,19,19,1679,0,0,17,10,24,4,0,0,0,0,0,Midfielder
Arin Wright,CHI,20,20,1718,0,4,10,4,13,1,1,0,0,2,0,
Kristen Hamilton,WNY,12,0,126,0,0,1,1,6,0,0,0,0,1,0,Attacker
Molly Menchel,KC,3,2,185,0,0,0,0,3,0,2,0,0,1,0,
Ga-Eul Jeon,WNY,2,1,86,0,0,0,0,2,0,1,0,0,0,0,
Alanna Kennedy,WNY,15,15,1298,0,0,13,4,17,0,2,0,0,3,0,
Adriana Leon,WNY,10,3,345,0,0,4,1,8,2,0,0,0,1,0,
Laura Liedle,WNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alexa Newfield,KC,8,2,236,0,0,3,1,5,0,1,0,0,0,0,Midfielder
Sarah Gorden,CHI,4,0,110,0,0,0,0,2,0,0,0,0,0,0,Defender
Courtney Niemiec,WNY,6,4,395,0,0,0,0,0,0,0,0,0,0,0,
Brianne Reed,KC,7,5,441,0,0,0,0,3,0,0,0,0,1,0,
Meredith Speck,WNY,6,5,369,0,1,2,1,4,2,2,0,0,1,0,Midfielder
Brittany Ratcliffe,BOS,15,5,546,0,0,7,1,7,1,0,0,0,3,0,Attacker
McCall Zerboni,WNY,20,19,1681,0,1,13,5,37,0,2,0,0,4,0,Midfielder
