Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season
Sam Kerr,CHI,19,19,1704,16,4,88,47,9,34,0,0,0,2,0,2018
Lynn Williams,NC,21,20,1707,14,5,93,41,12,25,1,2,1,1,0,2018
Lindsey Horan,POR,22,22,1980,13,2,50,30,49,3,1,1,0,5,0,2018
Rachel Daly,HOU,24,24,2155,10,2,52,23,21,21,26,2,2,4,0,2018
Jodie Taylor,SEA,24,24,2088,9,1,46,35,28,45,0,2,1,3,0,2018
Christine Sinclair,POR,24,24,2160,9,6,33,20,20,3,0,3,3,4,0,2018
Sofia Huerta,HOU,23,23,2032,8,6,65,32,13,2,42,2,2,1,0,2018
Debinha,NC,21,20,1728,8,2,40,22,13,4,26,0,0,0,0,2018
Crystal Dunn,NC,22,21,1800,8,5,48,27,19,8,0,0,0,0,0,2018
Megan Rapinoe,SEA,16,15,1315,7,6,66,37,25,9,62,3,2,2,0,2018
Jessica McDonald,NC,23,21,1686,7,8,58,26,12,17,0,0,0,1,0,2018
Tobin Heath,POR,17,14,1267,7,7,24,17,24,4,58,0,0,0,0,2018
Katie Stengel,UTA,23,10,1142,6,0,25,15,10,19,0,0,0,0,0,2018
Sydney Leroux,ORL,20,15,1431,6,2,40,24,15,14,0,0,0,2,0,2018
Ana-Maria Crnogorcevic,POR,20,17,1406,5,3,34,16,21,8,0,0,0,0,0,2018
Kealia Ohai,HOU,19,18,1438,5,4,22,13,12,11,0,0,0,1,0,2018
Alyssa Mautz,CHI,23,20,1715,5,3,21,13,27,7,0,0,0,3,0,2018
Amy Rodriguez,UTA,19,16,1301,5,1,41,19,12,15,1,0,0,0,0,2018
Alex Morgan,ORL,19,17,1500,5,2,38,23,16,21,0,2,1,0,0,2018
Marta,ORL,17,15,1310,4,4,29,18,23,3,65,2,1,2,1,2018
Ashley Hatch,WAS,22,22,1927,4,1,59,22,26,8,0,0,0,2,0,2018
Carli Lloyd,NJ,18,17,1563,4,1,51,21,36,7,0,2,1,4,1,2018
Veronica Latsko,HOU,21,9,972,4,2,19,12,6,6,2,0,0,0,0,2018
Rachel Hill,ORL,21,7,813,4,0,16,10,16,10,0,0,0,1,0,2018
Katlyn Johnson,NJ,19,13,1166,4,2,24,12,11,20,0,0,0,1,0,2018
Chioma Ubogagu,ORL,21,17,1340,4,1,21,8,21,11,1,0,0,2,0,2018
Yuki Nagasato,CHI,22,17,1607,4,7,30,14,25,8,2,2,1,4,0,2018
Imani Dorsey,NJ,13,12,1047,4,1,25,16,12,3,0,0,0,0,0,2018
Allie Long,SEA,19,19,1709,3,1,15,7,35,7,0,0,0,2,0,2018
McCall Zerboni,NC,20,20,1800,3,1,13,8,35,0,1,0,0,1,0,2018
Savannah McCaskill,NJ,20,17,1510,3,3,25,12,17,8,12,0,0,3,0,2018
Samantha Mewis,NC,17,11,1091,3,2,34,16,20,0,1,0,0,1,0,2018
Merritt Mathias,NC,22,22,1961,3,2,15,7,28,0,0,0,0,4,0,2018
Kristen Hamilton,NC,23,8,781,3,4,19,12,20,4,0,0,0,4,0,2018
Francisca Ordega,WAS,18,15,1192,3,0,26,12,32,16,0,0,0,3,0,2018
Vanessa DiBernardo,CHI,11,7,679,2,2,14,8,9,0,18,0,0,0,0,2018
Beverly Yanez,SEA,19,14,1165,2,0,20,8,18,6,0,0,0,0,0,2018
Thembi Kgatlana,HOU,16,2,376,2,3,13,5,11,7,0,0,0,1,0,2018
Shea Groom,NJ,21,17,1535,2,3,34,15,26,14,11,1,0,0,0,2018
Kyah Simon,HOU,15,11,948,2,2,21,4,14,4,3,0,0,1,0,2018
Sarah Killion,NJ,24,24,2131,2,2,6,3,28,0,32,0,0,3,0,2018
Alanna Kennedy,ORL,20,20,1800,2,1,29,7,21,0,0,0,0,2,0,2018
Hayley Raso,POR,12,9,774,2,2,16,5,17,5,0,0,0,0,0,2018
Madison Tiernan,NJ,22,15,1242,2,1,8,4,33,8,0,0,0,4,0,2018
Diana Matheson,UTA,21,18,1396,2,1,12,7,11,4,7,1,0,2,0,2018
Christen Press,UTA,11,11,975,2,2,34,17,5,8,0,0,0,0,0,2018
Brittany Ratcliffe,UTA,10,4,366,2,0,3,3,5,2,0,0,0,2,0,2018
Mallory Pugh,WAS,15,13,1082,2,1,19,8,18,8,18,1,0,0,0,2018
Jessica Fishlock,SEA,18,18,1542,2,1,29,12,25,0,5,0,0,2,0,2018
Abby Erceg,NC,24,24,2160,2,2,20,5,8,0,0,0,0,1,0,2018
Kristie Mewis,HOU,11,11,919,2,0,6,3,8,1,14,0,0,0,0,2018
Dani Weatherholt,ORL,23,17,1658,2,0,11,8,23,2,0,0,0,1,0,2018
Emily Sonnett,POR,20,20,1755,1,1,3,2,19,1,0,0,0,5,0,2018
Michele Vasconcelos,CHI,19,10,905,1,0,12,3,11,2,0,0,0,1,0,2018
Linda Motlhalo,HOU,21,20,1788,1,1,11,3,5,3,0,0,0,0,0,2018
Theresa Nielsen,SEA,20,18,1654,1,1,1,1,21,0,1,0,0,0,0,2018
Megan Oyster,SEA,20,20,1800,1,2,2,1,20,0,0,0,0,3,0,2018
Kristen Edmonds,ORL,15,13,1091,1,0,5,2,7,2,1,0,0,1,0,2018
Jasmyne Spencer,SEA,22,8,949,1,0,16,8,14,7,0,0,0,1,0,2018
Rosie White,CHI,11,4,376,1,1,14,9,10,2,1,0,0,1,0,2018
Rumi Utsugi,SEA,15,15,1239,1,0,15,5,11,1,0,0,0,0,0,2018
Nichelle Prince,HOU,20,11,1022,1,2,17,6,16,20,0,0,0,0,0,2018
Amber Brooks,HOU,24,24,2160,1,0,13,2,20,1,0,0,0,3,0,2018
Frannie Crouse,NC,1,0,27,1,0,2,1,0,0,0,0,0,0,0,2018
Christine Nairn,ORL,20,13,1115,1,4,9,2,3,0,39,0,0,1,0,2018
Toni Pressley,ORL,11,10,813,1,0,6,2,8,0,0,0,0,1,0,2018
Danielle Colaprico,CHI,24,21,1906,1,4,6,2,33,0,77,0,0,3,0,2018
Taylor Comeau,HOU,23,22,2003,1,1,3,2,11,2,1,0,0,2,0,2018
Lauren Kaskie,CHI,6,3,202,1,0,3,1,1,1,2,0,0,0,0,2018
Gunnhildur Yrsa Jónsdóttir,UTA,24,24,2160,1,2,29,7,40,10,0,0,0,4,0,2018
Ellie Carpenter,POR,17,14,1299,1,0,7,5,8,0,0,0,0,0,0,2018
Kelley O'Hara,UTA,8,7,517,1,0,8,5,4,6,4,0,0,0,0,2018
Haley Hanson,HOU,19,15,1464,1,1,10,5,9,1,0,0,0,1,0,2018
Arielle Ship,WAS,2,0,41,1,0,2,2,0,0,0,0,0,0,0,2018
Kimberly Keever,HOU,11,9,728,1,0,5,2,11,2,2,0,0,1,0,2018
Tyler Lussi,POR,15,3,370,1,1,15,7,8,5,0,0,0,1,0,2018
Erika Tymrak,UTA,14,5,480,1,1,13,5,1,2,4,0,0,1,0,2018
Estefanía Banini,WAS,12,11,891,1,0,16,9,5,0,5,0,0,0,0,2018
Kathleen Naughton,CHI,23,23,2059,1,0,3,1,14,2,0,0,0,2,0,2018
Joanna Lohman,WAS,13,4,429,1,0,8,3,5,0,0,0,0,1,0,2018
Katherine Reynolds,POR,17,16,1419,1,0,2,1,12,0,0,0,0,0,0,2018
Casey Short,CHI,9,8,654,1,0,5,3,6,1,0,0,0,0,0,2018
Emily Menges,POR,15,15,1305,0,0,0,0,2,0,0,0,0,0,0,2018
Danica Evans,ORL,5,0,49,0,0,0,0,1,0,0,0,0,0,0,2018
Nádia Gomes,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Monica,ORL,17,15,1400,0,0,3,1,13,1,0,0,0,2,0,2018
Savannah Jordan,HOU,10,5,414,0,1,4,1,3,4,0,0,0,0,0,2018
Ali Krieger,ORL,19,19,1675,0,2,7,1,12,0,3,0,0,1,0,2018
Brooke Elby,CHI,11,9,846,0,1,6,3,10,1,5,0,0,1,0,2018
Camila,ORL,9,3,318,0,0,9,2,12,0,9,0,0,3,0,2018
Julie Ertz,CHI,14,13,1126,0,0,11,3,16,0,0,0,0,1,0,2018
Arin Wright,CHI,24,23,2040,0,4,17,3,11,0,0,0,0,3,0,2018
Lotta Ökvist,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Carson Pickett,ORL,19,16,1381,0,0,5,1,15,0,1,0,0,2,0,2018
Nikki Stanton,CHI,20,16,1449,0,0,1,0,42,0,0,0,0,4,0,2018
Alli Murphy,HOU,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2018
Clare Polkinghorne,HOU,9,9,782,0,0,5,2,6,0,0,0,0,0,0,2018
Shelina Zadorsky,ORL,23,23,2070,0,2,1,1,13,0,0,0,0,3,0,2018
Emily van Egmond,ORL,17,12,1098,0,1,11,4,20,6,15,0,0,2,0,2018
Elizabeth Ball,POR,6,0,101,0,0,0,0,1,0,0,0,0,0,0,2018
Celeste Boureille,POR,21,18,1586,0,0,9,3,24,0,2,0,0,1,0,2018
Zoey Goralski,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Andressinha,POR,18,9,848,0,0,13,3,12,2,16,0,0,1,0,2018
Caitlin Foord,POR,6,2,276,0,0,4,3,14,7,0,0,0,1,0,2018
Meleana Shim,HOU,8,7,597,0,0,5,3,5,0,4,0,0,0,0,2018
Sarah Gorden,CHI,17,12,1246,0,0,1,0,5,0,0,0,0,0,0,2018
Kelli Hubly,POR,11,9,818,0,0,0,0,8,0,0,0,0,1,0,2018
Meghan Klingenberg,POR,20,20,1751,0,2,4,0,13,1,22,0,0,2,0,2018
Allison Wetherington,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Joanna Boyles,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Meg Morris,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Ifeoma Onumonu,POR,8,3,311,0,0,6,3,6,8,0,0,0,0,0,2018
Margaret Purce,POR,19,15,1297,0,0,8,2,10,3,0,0,0,1,0,2018
Janine van Wyk,HOU,20,20,1719,0,0,0,0,13,0,0,0,0,1,0,2018
Allysha Chapman,NC,16,15,1349,0,1,2,0,15,0,0,0,0,2,0,2018
Angela Salem,POR,5,1,163,0,0,0,0,3,0,0,0,0,1,0,2018
Erin Yenney,CHI,3,0,27,0,0,3,1,1,0,0,0,0,0,0,2018
Mallory Weber,POR,14,9,714,0,0,5,1,3,5,0,0,0,0,0,2018
Sandra Yu,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Elizabeth Addo,SEA,12,8,692,0,1,7,2,22,3,0,0,0,2,0,2018
Morgan Andrews,SEA,15,7,765,0,0,6,1,15,0,4,0,0,1,0,2018
Yael Averbuch,SEA,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2018
Lauren Barnes,SEA,19,18,1679,0,0,4,1,12,0,5,0,0,2,0,2018
Madeline Bauer,SEA,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2018
Steph Catley,SEA,16,16,1435,0,3,1,1,13,2,16,0,0,2,0,2018
Kiersten Dallstream,SEA,3,2,163,0,0,2,2,4,0,0,0,0,1,0,2018
Abby Dahlkemper,NC,19,19,1710,0,0,1,0,7,0,77,0,0,1,0,2018
Jaycie Johnson,SEA,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2018
Nahomi Kawasumi,SEA,14,11,875,0,3,7,3,1,1,16,0,0,0,0,2018
Alyssa Kleiner,SEA,10,4,414,0,0,2,1,6,2,0,0,0,1,0,2018
Kristen McNabb,SEA,20,12,1159,0,0,1,0,12,0,0,0,0,2,0,2018
Lindsay Agnew,HOU,12,6,609,0,1,1,0,14,0,0,0,0,0,0,2018
Elizabeth Eddy,NC,2,1,94,0,0,0,0,1,0,0,0,0,0,0,2018
Summer Green,CHI,8,4,319,0,0,0,0,6,1,0,0,0,0,0,2018
Jaelene Hinkle,NC,20,20,1779,0,4,7,1,13,0,32,0,0,1,0,2018
Carlin Hudson,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Christen Westphal,SEA,12,9,694,0,1,1,0,8,1,0,0,0,0,0,2018
Darian Jenkins,NC,13,0,178,0,0,3,1,5,4,0,0,0,0,0,2018
Michaela Abam,NJ,4,0,50,0,0,1,0,1,2,0,0,0,0,0,2018
Janine Beckie,NJ,15,11,1046,0,0,14,6,4,3,16,0,0,1,0,2018
Cassidy Benintente,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Eliza Bona,NJ,2,0,25,0,0,0,0,0,0,0,0,0,0,0,2018
Gabriella Cuevas,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Yuri Kawamura,NC,2,1,98,0,0,0,0,0,0,0,0,0,0,0,2018
Nickolette Driesse,NJ,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2018
Mandy Freeman,NJ,21,21,1826,0,0,0,0,5,0,0,0,0,2,0,2018
Amanda Frisbie,NJ,17,15,1285,0,0,3,2,4,0,6,0,0,0,0,2018
Christina Gibbons,NJ,18,16,1430,0,0,1,0,9,0,1,0,0,2,0,2018
Kaleigh Kurtz,NC,6,6,540,0,0,1,0,4,0,0,0,0,1,0,2018
Jennifer Hoy,NJ,10,2,217,0,0,3,2,2,2,0,0,0,1,0,2018
Morgan Brian,CHI,9,6,511,0,0,7,1,4,2,0,0,0,0,0,2018
Adriana Leon,NJ,8,1,185,0,0,6,0,1,0,1,0,0,0,0,2018
Claire Falknor,HOU,2,0,27,0,0,0,0,1,0,0,0,0,0,0,2018
Heather O'Reilly,NC,8,2,261,0,0,1,1,3,1,5,0,0,0,0,2018
McKenzie Meehan,NJ,11,3,352,0,0,7,1,3,3,0,0,0,1,0,2018
Kayla Mills,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Amandine Pierre-Louis,NJ,3,0,44,0,0,0,0,1,0,0,0,0,0,0,2018
Dominique Richardson,NJ,16,14,1356,0,0,5,1,4,0,8,0,0,0,0,2018
Raquel Rodriguez,NJ,15,10,910,0,1,13,6,22,0,1,0,0,0,0,2018
Erica Skroski,NJ,20,20,1654,0,0,1,0,6,1,0,0,0,1,0,2018
Rebekah Stott,NJ,9,8,775,0,0,0,0,2,0,0,0,0,1,0,2018
Denise O'Sullivan,NC,22,20,1752,0,3,16,7,31,1,2,0,0,2,0,2018
Thaisa Moreno,NJ,8,5,395,0,0,3,1,5,0,1,0,0,0,0,2018
Katie Bowen,UTA,19,16,1433,0,1,7,4,10,0,20,0,0,0,0,2018
Rachel Corsie,UTA,24,23,2088,0,1,10,2,15,0,0,0,0,3,0,2018
Katrina Gorry,UTA,16,13,1069,0,1,18,9,15,1,28,0,0,1,0,2018
Samantha Johnson,UTA,16,15,1333,0,0,7,2,20,0,0,0,0,5,0,2018
Morgan Reid,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Maegan Kelly,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Lo’eau LaBonta,UTA,16,8,824,0,0,2,1,12,1,0,0,0,0,0,2018
Taylor Lytle,UTA,10,4,449,0,2,1,1,1,1,2,0,0,0,0,2018
Cari Roccaro,NC,2,2,172,0,0,0,0,0,0,0,0,0,0,0,2018
Sydney Miramontez,UTA,10,6,639,0,0,1,0,0,1,9,0,0,0,0,2018
Rebecca Moros,UTA,22,22,1868,0,0,1,0,7,0,0,0,0,1,0,2018
Meredith Speck,NC,15,2,246,0,0,1,1,2,0,3,0,0,0,0,2018
Sarah Teegarden,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Michaela Hahn,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Becky Sauerbrunn,UTA,20,19,1720,0,0,2,0,7,0,0,0,0,2,0,2018
Desiree Scott,UTA,21,20,1810,0,0,2,0,13,0,0,0,0,2,0,2018
Collette Smith,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Ryan Williams,NC,1,0,10,0,0,0,0,0,0,0,0,0,0,0,2018
Elise Thorsnes,UTA,9,3,353,0,0,2,0,6,1,0,0,0,0,0,2018
Chandra Eigenberger,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Yanara Aedo,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Whitney Church,WAS,22,21,1898,0,1,2,1,8,0,30,0,0,2,0,2018
Zoe Clark,WAS,1,1,90,0,0,0,0,1,0,0,0,0,0,0,2018
Megan Crosson,WAS,1,1,90,0,0,0,0,1,0,0,0,0,0,0,2018
Schuyler DeBree,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Meggie Dougherty Howard,WAS,23,14,1448,0,0,8,2,18,0,1,0,0,3,0,2018
Caprice Dydasco,WAS,24,21,1948,0,0,13,4,16,2,2,0,0,2,0,2018
Mallory Eubanks,WAS,12,5,516,0,0,3,1,2,0,1,0,0,0,0,2018
Cali Farquharson,WAS,5,1,152,0,0,3,0,1,0,0,0,0,0,0,2018
Poliana,ORL,10,8,694,0,0,5,2,5,1,0,0,0,0,0,2018
Maddie Huster,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Tori Huster,WAS,17,15,1283,0,0,11,5,14,2,18,0,0,0,0,2018
Estelle Johnson,WAS,21,21,1890,0,0,3,2,11,0,0,0,0,2,0,2018
Rose Lavelle,WAS,11,5,424,0,0,6,2,5,4,3,0,0,0,0,2018
Bridget Callahan,ORL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
Tiffany McCarty,WAS,1,1,70,0,0,0,0,2,2,0,0,0,0,0,2018
Alexa Newfield,WAS,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2018
Christine Creighton,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Morgan Proffitt,WAS,4,2,197,0,0,0,0,1,0,0,0,0,0,0,2018
Stephanie McCaffrey,CHI,2,0,10,0,0,0,0,2,1,0,0,0,0,0,2018
Rebecca Quinn,WAS,17,16,1384,0,0,3,0,4,0,0,0,0,1,0,2018
Abby Elinsky,ORL,2,0,32,0,0,0,0,0,0,0,0,0,0,0,2018
Taylor Smith,WAS,23,23,2064,0,1,7,3,13,4,0,0,0,1,0,2018
Havana Solaun,WAS,13,5,496,0,1,5,0,4,1,7,0,0,0,0,2018
Andi Sullivan,WAS,23,22,1984,0,1,26,9,10,0,0,1,0,0,0,2018
Tiffany Weimer,WAS,3,1,84,0,0,0,0,0,2,2,0,0,0,0,2018
