Player,Position
Emily Boyd,Goalkeeper
Morgan Brian,Midfielder
Danielle Colaprico,Midfielder
Tierna Davidson,Defender
Vanessa DiBernardo,Midfielder
Brooke Elby,Defender
Julie Ertz,Defender
Arin Gilliland,Defender
Sarah Gorden,Defender
Summer Green,Midfielder
Sam Kerr,Attacker
Alyssa Mautz,Midfielder
Stephanie McCaffrey,Attacker
Christina Murillo Ruiz,Defender
Alyssa Naeher,Goalkeeper
Yuki Nagasato,Attacker
Kathleen Naughton,Defender
Casey Short,Defender
Nikki Stanton,Midfielder
Michele Vasconcelos,Attacker
Rosie White,Midfielder
Erin Yenney,Midfielder
Lindsay Agnew,Defender
Amber Brooks,Defender
Jane Campbell,Goalkeeper
Allysha Chapman,Defender
Taylor Comeau,Defender
Rachel Daly,Attacker
Haley Hanson,Midfielder
Bianca Henninger,Goalkeeper
Sofia Huerta,Midfielder
Savannah Jordan,Attacker
Kimberly Keever,Defender
Thembi Kgatlana,Attacker
Veronica Latsko,Midfielder
Kristie Mewis,Defender
Linda Motlhalo,Midfielder
Satara Murray,Defender
Christine Nairn,Midfielder
Kealia Ohai,Attacker
Clare Polkinghorne,Defender
Nichelle Prince,Attacker
Sammy Jo Prudhomme,Goalkeeper
Arianna Jeanette Romero Tellez,Defender
Sophie Schmidt,Midfielder
Meleana Shim,Midfielder
Kyah Simon,Attacker
Abby Dahlkemper,Defender
Debinha,Midfielder
Crystal Dunn,Attacker
Elizabeth Eddy,Midfielder
Abby Erceg,Defender
Adelaide Gay,Goalkeeper
Kristen Hamilton,Attacker
Allyson Paige Haran,Midfielder
Hailey Harbison,Defender
Jaelene Hinkle,Defender
Shannon Horgan,Midfielder
Darian Jenkins,Attacker
Julie King,Defender
Kaleigh Kurtz,Defender
Stephanie Labbe,Goalkeeper
Merritt Mathias,Defender
Jessica McDonald,Attacker
Samantha Mewis,Midfielder
Lauren Milliet,Midfielder
Heather O'Reilly,Midfielder
Denise O'Sullivan,Midfielder
Leah Pruitt,Attacker
Morgan Reid,Defender
Cari Roccaro,Defender
Katelyn Rowland,Goalkeeper
Meredith Speck,Defender
Julia Spetsmark,Midfielder
Ryan Williams,Defender
Lynn Williams,Attacker
McCall Zerboni,Midfielder
Camila,Defender
Kristen Edmonds,Midfielder
Danica Evans,Attacker
Ashlyn Harris,Goalkeeper
Rachel Hill,Attacker
Alanna Kennedy,Defender
Haley Kopmeyer,Goalkeeper
Ali Krieger,Defender
Sydney Leroux,Attacker
Marta,Attacker
Monica,Defender
Alex Morgan,Attacker
Carson Pickett,Defender
Poliana,Defender
Toni Pressley,Defender
Chioma Ubogagu,Attacker
Emily van Egmond,Midfielder
Dani Weatherholt,Midfielder
Shelina Zadorsky,Defender
Andressinha,Midfielder
Elizabeth Ball,Defender
Celeste Boureille,Midfielder
Dagný Brynjarsdóttir,Midfielder
Ellie Carpenter,Defender
Simone Charley,Attacker
Ana-Maria Crnogorcevic,Defender
Britt Eckerstrom,Goalkeeper
Bobbi Eckler,Midfielder
Caitlin Foord,Attacker
Adrianna Franch,Goalkeeper
Tobin Heath,Midfielder
Lindsey Horan,Midfielder
Kelli Hubly,Defender
Meghan Klingenberg,Defender
Tyler Lussi,Attacker
Emily Menges,Defender
Emily Ogle,Midfielder
Ifeoma Onumonu,Attacker
Margaret Purce,Attacker
Hayley Raso,Attacker
Katherine Reynolds,Defender
Angela Salem,Midfielder
Christine Sinclair,Attacker
Emily Sonnett,Defender
Mallory Weber,Attacker
Sandra Yu,Midfielder
Morgan Andrews,Midfielder
Yael Averbuch,Midfielder
Lauren Barnes,Defender
Michelle Betos,Goalkeeper
Steph Catley,Defender
Kiersten Dallstream,Attacker
Shea Groom,Attacker
Darian Jenkins,Attacker
Celia Jiménez Delgado,Defender
Jaycie Johnson,Attacker
Nahomi Kawasumi,Attacker
Elise Kellond-Knight,Midfielder
Alyssa Kleiner,Defender
Allie Long,Midfielder
Kristen McNabb,Midfielder
Theresa Nielsen,Defender
Megan Oyster,Defender
Morgan Proffitt,Defender
Megan Rapinoe,Attacker
Taylor Smith,Defender
Jasmyne Spencer,Attacker
Jodie Taylor,Attacker
Rumi Utsugi,Midfielder
Christen Westphal,Defender
Lydia Williams,Goalkeeper
Beverly Yanez,Attacker
Kyra Carusa,Attacker
Caroline Casey,Goalkeeper
Imani Dorsey,Attacker
Caprice Dydasco,Defender
Sabrina Flores,Defender
Mandy Freeman,Defender
Amanda Frisbie,Defender
Christina Gibbons,Defender
Shea Groom,Attacker
DiDi Haracic,Goalkeeper
Jennifer Hoy,Attacker
Julie James,Midfielder
Estelle Johnson,Defender
Katlyn Johnson,Attacker
Nahomi Kawasumi,Attacker
Sarah Killion,Midfielder
Carli Lloyd,Midfielder
Kaylan Marckese,Goalkeeper
Savannah McCaskill,Attacker
McKenzie Meehan,Attacker
Paige Monaghan,Attacker
Amandine Pierre-Louis,Defender
Dominique Richardson,Defender
Raquel Rodriguez,Midfielder
Kailen Sheridan,Goalkeeper
Erica Skroski,Defender
Madison Tiernan,Midfielder
Kenie Wright,Midfielder
Nicole Barnhart,Goalkeeper
Katie Bowen,Midfielder
Rachel Corsie,Defender
Makenzy Doniak,Midfielder
Samantha Johnson,Defender
Gunnhildur Yrsa Jónsdóttir,Midfielder
Lo’eau LaBonta,Midfielder
Mandy Laddish,Midfielder
Taylor Lytle,Midfielder
Diana Matheson,Midfielder
Sydney Miramontez,Defender
Rebecca Moros,Midfielder
Kelley O'Hara,Defender
Christen Press,Attacker
Brittany Ratcliffe,Attacker
Amy Rodriguez,Attacker
Becky Sauerbrunn,Defender
Desiree Scott,Midfielder
Abby Smith,Goalkeeper
Katie Stengel,Attacker
Erika Tymrak,Midfielder
Dorian Bailey,Unknown
Aubrey Bledsoe,Goalkeeper
Whitney Church,Defender
Megan Crosson,Defender
Jordan DiBiasi,Midfielder
Meggie Dougherty Howard,Midfielder
Caprice Dydasco,Defender
Mallory Eubanks,Attacker
Cali Farquharson,Attacker
DiDi Haracic,Goalkeeper
Amy Harrison,Midfielder
Ashley Hatch,Attacker
Tori Huster,Midfielder
Estelle Johnson,Defender
Rose Lavelle,Midfielder
Chloe Logarzo,Midfielder
Joanna Lohman,Midfielder
Tegan McGrady,Defender
Paige Nielsen,Midfielder
Francisca Ordega,Attacker
Sammy Jo Prudhomme,Goalkeeper
Mallory Pugh,Attacker
Arielle Ship,Attacker
Havana Solaun,Midfielder
Samantha Staab,Defender
Andi Sullivan,Midfielder
Kelsey Wys,Goalkeeper
